Participant,Time,Polar_HR,HRMDUAL_HR,Vivo_HR,Polar_RR,HRMDUAL_RR,Vivo_RR
P1,14:39:13,133,122,132,454,511,490
P1,14:39:14,132,120,132,471,816,500
P1,14:39:15,131,103,132,600,1122,584
P1,14:39:16,130,114,132,574,528,526
P1,14:39:17,127,115,132,527,513,524
P1,14:39:18,123,116,132,525,500,519
P1,14:39:19,120,117,131,511,482,512
P1,14:39:20,120,118,129,489,476,507
P1,14:39:21,122,119,128,479,472,504
P1,14:39:22,124,120,128,477,474,502
P1,14:39:23,125,120,127,475,474,500
P1,14:39:24,125,120,128,475,461,498
P1,14:39:25,126,121,128,465,451,497
P1,14:39:26,127,141,129,458,449,427
P1,14:39:27,129,125,130,450,456,480
P1,14:39:28,131,124,129,452,468,482
P1,14:39:29,131,119,129,467,471,503
P1,14:39:30,129,114,128,475,472,528
P1,14:39:31,129,120,128,467,469,498
P1,14:39:32,128,120,128,475,459,499
P1,14:39:33,128,120,129,463,445,502
P1,14:39:34,130,121,131,451,432,497
P1,14:39:35,133,120,133,431,426,501
P1,14:39:36,135,120,132,427,460,500
P1,14:39:37,136,127,132,442,541,472
P1,14:39:38,135,129,132,469,1070,466
P1,14:39:39,133,140,132,559,490,430
P1,14:39:40,132,123,132,492,509,487
P1,14:39:41,128,120,132,499,485,501
P1,14:39:42,125,119,132,499,478,505
P1,14:39:43,124,119,131,481,469,506
P1,14:39:44,124,119,131,478,464,506
P1,14:39:45,126,120,132,460,443,502
P1,14:39:46,127,116,133,458,439,518
P1,14:39:47,131,108,134,441,433,553
P1,14:39:48,134,111,134,437,873,541
P1,14:39:49,135,113,135,438,435,533
P1,14:39:50,135,115,135,433,443,523
P1,14:39:51,136,117,135,433,886,514
P1,14:39:52,136,113,135,444,442,531
P1,14:39:53,136,113,135,442,876,532
P1,14:39:54,136,107,136,442,437,561
P1,14:39:55,136,105,136,437,432,570
P1,14:39:56,137,108,137,433,1276,557
P1,14:39:57,137,113,138,426,425,529
P1,14:39:58,138,116,138,423,848,517
P1,14:39:59,140,115,139,425,424,522
P1,14:40:00,141,118,139,420,1258,510
P1,14:40:01,141,114,139,421,2091,528
P1,14:40:02,141,111,140,420,419,542
P1,14:40:03,142,107,141,418,417,562
P1,14:40:04,143,104,141,418,1698,578
P1,14:40:05,143,103,140,425,425,580
P1,14:40:06,142,101,140,425,426,590
P1,14:40:07,141,104,140,428,866,575
P1,14:40:08,141,109,139,435,434,552
P1,14:40:09,140,111,139,431,444,540
P1,14:40:10,139,99,137,436,899,608
P1,14:40:11,139,106,136,438,444,564
P1,14:40:12,136,112,136,443,885,537
P1,14:40:13,136,115,136,440,451,520
P1,14:40:14,135,114,134,445,475,527
P1,14:40:15,134,121,132,458,480,495
P1,14:40:16,131,131,132,498,457,457
P1,14:40:17,129,130,132,461,449,460
P1,14:40:18,130,124,132,451,894,484
P1,14:40:19,131,122,133,447,442,490
P1,14:40:20,133,122,134,444,439,492
P1,14:40:21,134,119,134,443,1312,503
P1,14:40:22,134,116,135,440,434,517
P1,14:40:23,135,116,137,440,845,519
P1,14:40:24,137,111,138,425,422,541
P1,14:40:25,139,144,138,419,444,416
P1,14:40:26,140,130,138,424,477,460
P1,14:40:27,138,166,138,467,488,361
P1,14:40:28,134,124,138,472,506,483
P1,14:40:29,130,126,138,487,491,475
P1,14:40:30,125,123,138,507,477,489
P1,14:40:31,124,122,137,486,468,490
P1,14:40:32,124,121,136,476,916,497
P1,14:40:33,126,118,136,474,445,508
P1,14:40:34,128,120,135,449,445,498
P1,14:40:35,130,119,134,442,465,503
P1,14:40:36,130,118,132,450,468,510
P1,14:40:37,131,120,131,455,465,498
P1,14:40:38,130,122,130,464,465,491
P1,14:40:39,129,123,130,466,464,488
P1,14:40:40,129,127,129,463,472,472
P1,14:40:41,129,135,129,467,1383,445
P1,14:40:42,128,134,129,475,1839,449
P1,14:40:43,128,128,130,465,2294,467
P1,14:40:44,130,126,130,445,2033,477
P1,14:40:45,132,121,131,445,1772,496
P1,14:40:46,133,136,132,445,1323,441
P1,14:40:47,134,137,133,439,443,439
P1,14:40:48,135,125,132,444,457,480
P1,14:40:49,135,125,132,449,1366,481
P1,14:40:50,134,122,132,460,2276,493
P1,14:40:51,133,123,132,456,454,488
P1,14:40:52,133,127,132,453,1363,473
P1,14:40:53,133,144,132,455,2273,418
P1,14:40:54,132,134,131,453,460,447
P1,14:40:55,132,129,130,458,469,465
P1,14:40:56,131,121,130,465,467,494
P1,14:40:57,130,119,129,471,466,506
P1,14:40:58,129,119,129,464,468,504
P1,14:40:59,129,118,129,465,468,507
P1,14:41:00,129,122,129,467,1205,492
P1,14:41:01,129,130,129,466,1941,460
P1,14:41:02,127,118,128,490,486,511
P1,14:41:03,126,107,127,483,515,563
P1,14:41:04,126,117,126,486,507,512
P1,14:41:05,122,128,125,517,1446,468
P1,14:41:06,120,118,125,507,1916,507
P1,14:41:07,121,117,125,485,2385,511
P1,14:41:08,123,117,126,465,449,513
P1,14:41:09,127,116,128,457,914,516
P1,14:41:10,128,116,128,447,621,517
P1,14:41:11,130,115,128,466,584,523
P1,14:41:12,130,117,128,620,738,513
P1,14:41:13,129,116,128,586,621,517
P1,14:41:14,128,120,128,738,569,500
P1,14:41:15,127,117,128,583,579,515
P1,14:41:16,114,115,128,569,570,524
P1,14:41:17,110,130,128,579,566,463
P1,14:41:18,108,115,126,585,539,520
P1,14:41:19,107,116,126,547,527,516
P1,14:41:20,109,117,125,537,506,514
P1,14:41:21,111,122,125,535,489,490
P1,14:41:22,113,128,125,502,472,470
P1,14:41:23,117,122,125,500,464,491
P1,14:41:24,120,120,126,467,474,500
P1,14:41:25,121,121,125,466,478,494
P1,14:41:26,123,121,125,467,481,494
P1,14:41:27,125,125,125,477,483,480
P1,14:41:28,125,129,125,484,480,464
P1,14:41:29,125,122,124,482,1189,492
P1,14:41:30,124,110,125,484,1898,545
P1,14:41:31,125,112,126,473,459,535
P1,14:41:32,126,118,126,463,472,510
P1,14:41:33,128,115,126,461,992,523
P1,14:41:34,127,113,125,491,495,531
P1,14:41:35,125,112,123,495,513,535
P1,14:41:36,124,96,122,498,520,628
P1,14:41:37,123,113,121,501,501,533
P1,14:41:38,119,113,121,509,487,532
P1,14:41:39,119,112,121,494,976,536
P1,14:41:40,120,109,122,490,487,551
P1,14:41:41,121,111,121,484,509,540
P1,14:41:42,122,109,120,497,510,548
P1,14:41:43,120,107,119,516,504,559
P1,14:41:44,119,107,120,504,494,559
P1,14:41:45,119,119,121,502,483,505
P1,14:41:46,120,122,121,486,942,491
P1,14:41:47,122,121,122,479,1401,494
P1,14:41:48,124,117,124,468,462,513
P1,14:41:49,126,131,124,459,509,458
P1,14:41:50,127,124,124,470,543,485
P1,14:41:51,123,121,124,559,538,494
P1,14:41:52,119,121,124,534,527,497
P1,14:41:53,116,124,124,548,500,485
P1,14:41:54,115,117,124,526,475,515
P1,14:41:55,115,117,125,511,467,511
P1,14:41:56,120,118,126,469,464,509
P1,14:41:57,123,119,127,467,458,506
P1,14:41:58,125,121,128,461,467,496
P1,14:41:59,128,122,128,459,463,492
P1,14:42:00,128,130,128,461,953,460
P1,14:42:01,128,137,128,470,1443,437
P1,14:42:02,127,134,127,483,484,447
P1,14:42:03,126,123,126,480,961,488
P1,14:42:04,126,120,126,487,473,498
P1,14:42:05,125,106,126,479,462,566
P1,14:42:06,125,120,128,470,456,500
P1,14:42:07,126,120,127,468,476,500
P1,14:42:08,127,118,127,458,534,508
P1,14:42:09,127,119,127,500,552,506
P1,14:42:10,119,112,127,578,535,537
P1,14:42:11,116,114,127,534,519,528
P1,14:42:12,115,116,127,532,979,519
P1,14:42:13,115,117,127,500,478,512
P1,14:42:14,117,117,127,488,463,511
P1,14:42:15,120,114,128,469,460,526
P1,14:42:16,125,117,129,461,1385,511
P1,14:42:17,126,119,129,460,458,504
P1,14:42:18,127,121,129,458,463,495
P1,14:42:19,129,118,129,460,920,507
P1,14:42:20,129,135,129,462,455,446
P1,14:42:21,130,116,130,458,452,520
P1,14:42:22,131,104,132,452,451,576
P1,14:42:23,132,109,132,443,440,549
P1,14:42:24,132,109,132,442,2354,548
P1,14:42:25,133,111,132,443,3312,542
P1,14:42:26,136,116,132,429,3790,519
P1,14:42:27,138,117,132,420,4269,513
P1,14:42:28,140,117,132,417,451,511
P1,14:42:29,141,118,132,432,1034,510
P1,14:42:30,140,117,132,505,1618,514
P1,14:42:31,139,113,132,523,504,530
P1,14:42:32,138,112,132,504,1004,535
P1,14:42:33,134,116,132,509,475,518
P1,14:42:34,129,117,130,484,470,512
P1,14:42:35,128,118,130,471,471,508
P1,14:42:36,128,118,130,470,913,507
P1,14:42:37,129,120,131,457,1355,499
P1,14:42:38,130,123,132,454,447,488
P1,14:42:39,131,130,132,444,1358,460
P1,14:42:40,132,120,131,449,466,502
P1,14:42:41,132,122,131,455,973,491
P1,14:42:42,130,118,131,498,1480,509
P1,14:42:43,126,114,131,493,459,527
P1,14:42:44,126,125,131,466,451,480
P1,14:42:45,128,119,131,455,450,506
P1,14:42:46,128,115,132,453,444,522
P1,14:42:47,129,114,132,453,1306,528
P1,14:42:48,132,121,134,440,432,495
P1,14:42:49,133,121,135,439,429,494
P1,14:42:50,137,120,136,428,1064,501
P1,14:42:51,138,116,137,426,1700,517
P1,14:42:52,139,99,137,424,431,605
P1,14:42:53,140,116,136,428,442,519
P1,14:42:54,138,139,136,445,1331,431
P1,14:42:55,137,118,136,446,1319,508
P1,14:42:56,137,116,137,439,1307,516
P1,14:42:57,137,117,137,430,1283,514
P1,14:42:58,138,118,138,428,1259,508
P1,14:42:59,140,116,139,418,417,516
P1,14:43:00,141,117,139,418,1679,512
P1,14:43:01,142,112,140,417,424,536
P1,14:43:02,142,116,140,421,1266,518
P1,14:43:03,142,121,140,424,1687,496
P1,14:43:04,142,116,141,420,2108,519
P1,14:43:05,142,113,141,420,846,533
P1,14:43:06,142,118,141,422,422,507
P1,14:43:07,142,117,140,423,426,515
P1,14:43:08,142,121,140,421,1667,495
P1,14:43:09,142,119,141,416,829,501
P1,14:43:10,143,119,142,414,1242,505
P1,14:43:11,144,117,142,415,416,511
P1,14:43:12,144,115,141,415,857,522
P1,14:43:13,144,96,141,419,431,625
P1,14:43:14,142,121,140,432,435,496
P1,14:43:15,141,114,139,433,446,525
P1,14:43:16,138,121,137,444,439,497
P1,14:43:17,137,123,137,440,1314,485
P1,14:43:18,137,125,138,440,432,480
P1,14:43:19,137,126,138,435,426,475
P1,14:43:20,138,122,139,427,1277,491
P1,14:43:21,139,125,139,427,424,479
P1,14:43:22,140,124,139,423,1297,482
P1,14:43:23,141,105,138,422,441,572
P1,14:43:24,140,123,137,438,458,489
P1,14:43:25,138,124,137,447,924,485
P1,14:43:26,136,119,135,464,452,503
P1,14:43:27,135,123,134,456,458,486
P1,14:43:28,134,126,134,453,447,478
P1,14:43:29,132,147,134,451,439,408
P1,14:43:30,132,125,135,445,438,479
P1,14:43:31,133,122,135,443,437,491
P1,14:43:32,136,122,135,435,1317,493
P1,14:43:33,136,125,136,441,437,480
P1,14:43:34,136,126,137,436,424,478
P1,14:43:35,137,124,137,430,1065,483
P1,14:43:36,138,118,138,423,1706,507
P1,14:43:37,139,116,138,426,1939,516
P1,14:43:38,140,117,138,426,2173,511
P1,14:43:39,139,119,138,437,434,503
P1,14:43:40,139,123,138,435,877,488
P1,14:43:41,138,128,137,437,437,469
P1,14:43:42,137,131,137,437,1079,457
P1,14:43:43,137,129,137,436,1721,464
P1,14:43:44,138,127,138,430,426,474
P1,14:43:45,139,117,138,428,1097,515
P1,14:43:46,139,120,138,431,1768,501
P1,14:43:47,138,99,137,449,456,606
P1,14:43:48,136,106,136,448,1431,564
P1,14:43:49,133,105,135,477,466,572
P1,14:43:50,130,107,134,473,456,559
P1,14:43:51,130,111,133,464,1103,541
P1,14:43:52,130,107,133,450,1750,563
P1,14:43:53,133,106,135,440,426,568
P1,14:43:54,135,109,135,428,877,551
P1,14:43:55,136,100,134,430,1329,603
P1,14:43:56,137,85,133,433,494,706
P1,14:43:57,134,118,133,472,1004,507
P1,14:43:58,130,130,132,512,480,461
P1,14:43:59,127,128,130,482,484,468
P1,14:44:00,126,126,129,486,959,475
P1,14:44:01,125,127,129,485,454,473
P1,14:44:02,126,128,129,484,1344,470
P1,14:44:03,128,127,130,453,443,471
P1,14:44:04,130,128,131,443,897,470
P1,14:44:05,131,128,131,441,1351,468
P1,14:44:06,133,132,131,441,469,456
P1,14:44:07,133,134,131,454,958,448
P1,14:44:08,131,135,130,477,468,445
P1,14:44:09,129,132,130,467,923,453
P1,14:44:10,129,132,130,462,1377,456
P1,14:44:11,129,130,131,460,446,461
P1,14:44:12,131,130,132,449,1334,463
P1,14:44:13,132,129,133,446,439,464
P1,14:44:14,133,132,133,440,1752,455
P1,14:44:15,135,135,134,437,436,446
P1,14:44:16,136,135,134,437,1102,443
P1,14:44:17,136,135,134,438,1768,443
P1,14:44:18,136,134,134,439,440,447
P1,14:44:19,137,140,134,443,898,430
P1,14:44:20,135,135,133,450,1356,446
P1,14:44:21,134,132,133,453,446,454
P1,14:44:22,134,132,133,447,1749,453
P1,14:44:23,135,136,135,441,434,442
P1,14:44:24,136,142,135,433,1299,422
P1,14:44:25,137,146,135,433,2165,412
P1,14:44:26,138,136,137,433,432,441
P1,14:44:27,138,136,137,432,435,442
P1,14:44:28,138,136,137,433,1303,442
P1,14:44:29,138,136,136,434,2171,440
P1,14:44:30,138,138,137,431,432,436
P1,14:44:31,138,140,137,434,1292,429
P1,14:44:32,138,139,138,431,428,431
P1,14:44:33,139,138,139,426,416,435
P1,14:44:34,140,136,139,418,423,441
P1,14:44:35,140,137,138,419,457,437
P1,14:44:36,141,149,136,422,468,402
P1,14:44:37,135,150,135,468,490,401
P1,14:44:38,132,135,134,470,480,446
P1,14:44:39,129,132,133,494,461,453
P1,14:44:40,128,134,132,472,459,449
P1,14:44:41,128,134,132,468,453,449
P1,14:44:42,129,130,132,465,445,461
P1,14:44:43,131,116,134,451,432,519
P1,14:44:44,133,132,135,437,426,454
P1,14:44:45,135,129,136,426,425,464
P1,14:44:46,137,130,136,425,479,463
P1,14:44:47,136,129,133,442,490,463
P1,14:44:48,136,129,132,450,465,466
P1,14:44:49,129,127,131,469,457,472
P1,14:44:50,129,125,132,460,449,481
P1,14:44:51,130,130,132,451,448,462
P1,14:44:52,131,134,133,448,444,448
P1,14:44:53,133,138,134,447,433,436
P1,14:44:54,134,137,135,434,426,439
P1,14:44:55,135,126,135,430,451,478
P1,14:44:56,136,124,134,428,481,483
P1,14:44:57,135,123,131,477,485,488
P1,14:44:58,130,126,128,474,496,477
P1,14:44:59,129,109,127,489,485,549
P1,14:45:00,128,121,127,494,470,497
P1,14:45:01,125,121,127,478,457,495
P1,14:45:02,126,122,129,463,442,490
P1,14:45:03,128,124,131,450,439,482
P1,14:45:04,130,132,131,437,696,456
P1,14:45:05,133,120,131,436,616,502
P1,14:45:06,134,111,131,697,638,541
P1,14:45:07,135,110,131,616,614,545
P1,14:45:08,133,107,131,638,556,562
P1,14:45:09,129,108,131,586,516,554
P1,14:45:10,126,110,131,557,492,547
P1,14:45:11,117,109,129,500,498,552
P1,14:45:12,118,113,127,489,500,529
P1,14:45:13,119,115,126,500,488,521
P1,14:45:14,120,118,126,493,471,505
P1,14:45:15,121,119,127,483,456,503
P1,14:45:16,123,119,128,459,444,505
P1,14:45:17,126,117,129,447,583,515
P1,14:45:18,129,117,129,465,568,511
P1,14:45:19,131,119,129,624,634,503
P1,14:45:20,130,116,129,567,606,516
P1,14:45:21,129,118,129,634,553,510
P1,14:45:22,121,117,129,594,546,510
P1,14:45:23,114,117,129,583,527,513
P1,14:45:24,111,116,129,546,532,517
P1,14:45:25,111,114,128,527,531,525
P1,14:45:26,112,111,127,530,507,540
P1,14:45:27,113,111,126,528,488,541
P1,14:45:28,115,96,127,498,467,625
P1,14:45:29,119,115,128,477,456,522
P1,14:45:30,121,118,127,455,814,510
P1,14:45:31,125,119,127,456,596,505
P1,14:45:32,126,118,127,815,606,507
P1,14:45:33,128,128,127,596,575,469
P1,14:45:34,128,126,126,607,536,475
P1,14:45:35,127,123,125,542,544,486
P1,14:45:36,123,121,124,533,508,496
P1,14:45:37,119,121,124,525,500,496
P1,14:45:38,118,125,123,502,500,479
P1,14:45:39,119,122,123,501,492,491
P1,14:45:40,119,119,123,500,477,504
P1,14:45:41,120,117,125,481,462,513
P1,14:45:42,122,121,126,470,457,494
P1,14:45:43,125,125,127,458,472,481
P1,14:45:44,127,124,127,456,708,484
P1,14:45:45,128,122,127,540,546,493
P1,14:45:46,129,126,127,608,559,475
P1,14:45:47,130,126,127,544,574,475
P1,14:45:48,129,125,126,559,541,480
P1,14:45:49,124,125,125,560,517,479
P1,14:45:50,119,125,125,521,518,480
P1,14:45:51,118,124,124,519,514,484
P1,14:45:52,117,122,124,518,498,491
P1,14:45:53,117,121,124,510,490,494
P1,14:45:54,118,120,125,489,472,498
P1,14:45:55,121,119,125,473,514,503
P1,14:45:56,123,122,125,480,555,490
P1,14:45:57,121,121,123,540,522,496
P1,14:45:58,120,119,122,566,511,506
P1,14:45:59,115,118,121,512,530,509
P1,14:46:00,116,112,119,511,526,537
P1,14:46:01,115,126,118,531,506,478
P1,14:46:02,115,129,119,510,501,464
P1,14:46:03,116,130,118,502,507,462
P1,14:46:04,117,127,119,502,497,474
P1,14:46:05,118,124,120,503,481,482
P1,14:46:06,119,124,122,486,473,482
P1,14:46:07,121,122,122,473,517,492
P1,14:46:08,123,127,121,482,524,473
P1,14:46:09,121,127,118,531,551,469
P1,14:46:10,118,128,115,535,567,467
P1,14:46:11,116,131,114,551,534,458
P1,14:46:12,115,132,115,551,504,454
P1,14:46:13,112,123,116,524,485,486
P1,14:46:14,115,124,118,496,478,483
P1,14:46:15,118,125,119,476,495,479
P1,14:46:16,120,132,120,489,493,454
P1,14:46:17,121,128,120,496,483,470
P1,14:46:18,121,122,122,491,473,491
P1,14:46:19,121,123,122,479,482,486
P1,14:46:20,122,135,122,474,552,445
P1,14:46:21,123,131,121,515,539,456
P1,14:46:22,119,131,120,558,508,457
P1,14:46:23,116,128,120,522,499,470
P1,14:46:24,117,126,119,502,503,478
P1,14:46:25,118,137,120,503,495,438
P1,14:46:26,118,119,121,499,475,506
P1,14:46:27,120,121,123,479,458,497
P1,14:46:28,122,123,125,466,458,487
P1,14:46:29,125,125,125,456,484,481
P1,14:46:30,127,128,124,474,502,470
P1,14:46:31,126,128,123,488,500,470
P1,14:46:32,124,125,123,500,485,479
P1,14:46:33,123,121,123,494,476,494
P1,14:46:34,123,115,123,480,491,522
P1,14:46:35,124,121,122,484,500,494
P1,14:46:36,123,128,122,499,495,468
P1,14:46:37,122,129,122,497,477,466
P1,14:46:38,122,122,124,482,459,490
P1,14:46:39,123,123,125,474,457,486
P1,14:46:40,124,123,126,471,508,487
P1,14:46:41,126,122,126,458,762,491
P1,14:46:42,128,119,126,509,545,503
P1,14:46:43,128,122,126,623,526,491
P1,14:46:44,127,110,126,530,554,544
P1,14:46:45,122,118,126,542,535,509
P1,14:46:46,117,119,126,553,515,506
P1,14:46:47,116,118,125,519,510,507
P1,14:46:48,115,121,125,515,512,494
P1,14:46:49,116,123,125,509,500,489
P1,14:46:50,117,121,124,500,479,495
P1,14:46:51,119,120,125,490,471,499
P1,14:46:52,121,116,125,472,480,519
P1,14:46:53,123,123,124,474,492,488
P1,14:46:54,124,122,123,492,487,490
P1,14:46:55,123,122,123,492,484,491
P1,14:46:56,123,123,124,486,472,489
P1,14:46:57,123,124,125,482,460,484
P1,14:46:58,123,122,126,480,463,493
P1,14:46:59,127,127,126,459,485,472
P1,14:47:00,127,126,126,469,616,478
P1,14:47:01,128,120,126,541,584,499
P1,14:47:02,127,113,126,630,559,530
P1,14:47:03,126,122,126,586,535,490
P1,14:47:04,124,122,125,534,517,493
P1,14:47:05,120,128,124,521,497,468
P1,14:47:06,119,130,124,510,482,462
P1,14:47:07,120,118,124,490,475,507
P1,14:47:08,122,125,124,478,486,479
P1,14:47:09,123,124,123,476,503,484
P1,14:47:10,123,130,123,481,497,463
P1,14:47:11,124,131,122,487,488,458
P1,14:47:12,122,129,122,495,492,462
P1,14:47:13,122,130,122,488,487,461
P1,14:47:14,122,130,123,492,478,461
P1,14:47:15,123,132,123,479,479,456
P1,14:47:16,123,128,123,477,492,468
P1,14:47:17,124,130,123,475,483,461
P1,14:47:18,124,147,124,483,476,407
P1,14:47:19,124,133,124,486,470,451
P1,14:47:20,124,124,125,481,461,485
P1,14:47:21,126,128,127,463,460,467
P1,14:47:22,127,125,126,458,983,479
P1,14:47:23,127,129,126,478,483,464
P1,14:47:24,125,137,126,487,1445,438
P1,14:47:25,125,126,125,486,480,478
P1,14:47:26,125,126,125,488,1362,477
P1,14:47:27,125,128,125,477,1803,469
P1,14:47:28,126,124,125,456,2245,483
P1,14:47:29,131,122,125,438,1843,492
P1,14:47:30,133,120,125,441,1925,498
P1,14:47:31,131,127,125,500,2006,473
P1,14:47:32,127,126,125,498,502,478
P1,14:47:33,125,125,124,503,1005,479
P1,14:47:34,123,124,124,502,502,483
P1,14:47:35,122,119,123,507,499,504
P1,14:47:36,121,123,122,501,501,487
P1,14:47:37,121,123,121,498,501,488
P1,14:47:38,121,123,121,498,492,489
P1,14:47:39,120,121,122,501,472,497
P1,14:47:40,120,118,122,485,481,508
P1,14:47:41,121,117,122,479,522,514
P1,14:47:42,123,120,122,491,645,498
P1,14:47:43,122,124,122,507,610,483
P1,14:47:44,122,124,122,523,618,484
P1,14:47:45,109,124,122,594,1136,484
P1,14:47:46,108,126,122,587,543,475
P1,14:47:47,108,125,122,581,514,479
P1,14:47:48,107,128,121,528,508,470
P1,14:47:49,110,125,120,506,505,481
P1,14:47:50,113,118,119,505,516,509
P1,14:47:51,115,122,118,510,515,490
P1,14:47:52,116,122,117,513,541,492
P1,14:47:53,115,121,116,535,524,497
P1,14:47:54,114,122,115,534,518,493
P1,14:47:55,114,138,116,521,511,436
P1,14:47:56,114,127,116,519,497,474
P1,14:47:57,116,124,117,509,496,485
P1,14:47:58,117,128,118,506,490,468
P1,14:47:59,119,132,118,493,519,453
P1,14:48:00,119,128,118,494,1059,469
P1,14:48:01,119,169,117,498,520,354
P1,14:48:02,117,185,117,526,521,324
P1,14:48:03,116,132,117,521,1229,456
P1,14:48:04,116,135,117,509,1938,446
P1,14:48:05,119,132,117,489,477,453
